question_number,pipeline,correct,quote,source,paper_reference,fuzz_score,source_text_for_judge,faithfulness_score,faithfulness_reasoning
1.0,BM25 RAG,True,"By leveraging the inherent sparsity and block-diagonal attention patterns present in RAG contexts, REFRAG compresses, senses, and expands context representations to significantly reduce both memory usage and inference latency, particularly the TTFT.","2509.01092v2.pdf, Page: 10","REFRAG makes several novel modifications to the decoding process: Instead of using tokens from retrieved passages as input, REFRAG leverages pre-computed, compressed chunk embeddings as approximate representations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",46.58634538152611,"7 Conclusion
In this work, we introducedREFRAG, a novel and efficient decoding framework tailored for RAG applications.
By leveraging the inherent sparsity and block-diagonal attention patterns present in RAG contexts,REFRAG
compresses, senses, and expands context representations to significantly reduce both memory usage and
inference latency, particularly the TTFT. Extensive experiments across a range of long-context applications,
including RAG, multi-turn conversations, and long document summarization, demonstrate thatREFRAG
achieves up to30.85× TTFT acceleration (3.75× over previous state-of-the-art methods) without any loss in
perplexity or downstream accuracy. Our results highlight the importance of specialized treatment for RAG-
based systems and open new directions for efficient large-context LLM inference. We believe thatREFRAG
provides a practical and scalable solution for deploying LLMs in latency-sensitive, knowledge-intensive
applications.
8 Acknowledgements",0.99,"The quote is an exact sentence extracted from the source text. The only difference is the addition of a space between 'contexts,' and 'REFRAG' in the quote, which was missing in the source text (i.e., 'contexts,REFRAG'). This is a minor formatting adjustment and does not change the content or meaning of the text."
2.0,BM25 RAG,False,"performance of the reconstruction task with and without curriculum learning (i.e., reconstruction of x1:s from s/k chunk embedding directly).","2509.01092v2.pdf, Page: 5","The main objectives are to align the encoder and projection layer so that: 1) encoder can compress k tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information. The reconstruction task was specifically chosen to encourage the model to rely on context memory rather than its parametric memory during training.",48.93617021276596,"within a fixed-length embedding presents a significant challenge. Additionally, reconstructings = k×L tokens
fromLchunk embeddings further compounds the difficulty of the task.
Counterintuitively, directly continuing pre-training of the decoder to utilize encoder outputs did not reduce
perplexity, even for the reconstruction task.To address the optimization challenge, we propose employing
curriculum learning for both tasks. Curriculum learning incrementally increases task difficulty, enabling the
model to gradually and effectively acquire complex skills. For the reconstruction task, training begins with
reconstructing a single chunk: the encoder receives one chunk embeddingc1 for x1:k and and the decoder
reconstructs thek tokens using the projected chunk embeddingecnk
1 . Subsequently, the model reconstructs
x1:2k frome cnk
1 , ecnk
2 , and so forth. To continuously adjust task difficulty, we vary the data mixture over",0.0,"The provided quote is not present anywhere in the source text. While the source text discusses 'reconstruction task' and 'curriculum learning', the specific sentence 'performance of the reconstruction task with and without curriculum learning (i.e., reconstruction of x1:s from s/k chunk embedding directly)' is entirely absent. Therefore, it is a hallucinated or unrelated extraction."
3.0,BM25 RAG,True,"However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization.",filename: 2509.01092v2.pdf page 9,"CEPE (Yen et al., 2024) employs cross-attention to token embeddings from context tokens, reducing both KV cache memory and attention computations. However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization. Additionally, CEPE does not utilize token compression, resulting in similar or even increased decoding latency.",100.0,"attention, reducing attention complexity from quadratic to linear; however, this method does not address
memory requirements. It is complementary to our approach and can be integrated to further improve latency.
StreamingLLM(Xiao et al., 2024) proposed attention sinks to decrease KV cache memory for long-context
generation, though this does not reduce latency during the pre-filling stage. CEPE (Yen et al., 2024) employs
cross-attention to token embeddings from context tokens, reducing both KV cache memory and attention
computations. However, CEPE is limited to prefix context applications, as it disrupts the causal structure of
the context, making it unsuitable for tasks such as multi-turn RAG or summarization. Additionally, CEPE
does not utilize token compression, resulting in similar or even increased decoding latency. Concurrently with
our work, Dai et al. (2025) proposed PCC, an embedding-based memory mechanism that summarizes past",1.0,"The quote is an exact, verbatim extraction of a complete sentence from the source text."
4.0,BM25 RAG,True,"This improvement is attributable to the limited 4k-token context window of LLaMAFT, which necessitates truncating portions of the conversational history in longer contexts, resulting in the loss of crucial information required to answer subsequent questions.",filename: 2509.01092v2.pdf page 7,"This improvement is attributable to the limited 4k-token context window of LLAMAFT, which necessitates truncating portions of the conversational history in longer contexts, resulting in the loss of crucial information required to answer subsequent questions. In contrast, our model, trained on the same LLAMA model without extending its effective positional encoding, maintains robust performance even with a large number of passages, owing to the benefits of our compression approach.",100.0,"2022), ORConvQA (Qu et al., 2020), and QReCC (Anantha et al., 2021). For each conversation turn, we
retrieveKpassages using the same retriever and retrieval corpus as described in section 5.1.
Result analysis.Table 4 presents results across varying numbers of conversational turns and retrieved passages.
Our model outperformsLLaMAFT on two out of three datasets in the 5-passage setting, and on all three
datasets in the 10-passage setting. This improvement is attributable to the limited 4k-token context window of
LLaMAFT, which necessitates truncating portions of the conversational history in longer contexts, resulting
in the loss of crucial information required to answer subsequent questions. In contrast, our model, trained on
the sameLLaMA model without extending its effective positional encoding, maintains robust performance
3Note that the implementation of our exact match is stricter than other works. We follow the work of Lin et al. (2024) to use",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text. No changes or omissions were made."
5.0,BM25 RAG,True,"RAG contexts often contain sparse information, with many retrieved passages being uninformative and reused across multiple inferences.",filename: 2509.01092v2.pdf page 1,"In RAG, much of the LLM context consists of concatenated passages from retrieval, with only a small subset directly relevant to the query. These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to block-diagonal attention patterns that differ from those in standard LLM generation tasks. Based on this observation, we argue that most computations over the RAG context during decoding are unnecessary and can be eliminated with minimal impact on performance.",47.96747967479674,"being uninformative and reused across multiple inferences. Allocating memory/computation for all the
tokens, as we show in this paper, is unnecessarily wasteful. 2)Wasteful Encoding and Other Information.The
retrieval process in RAG has already pre-processed the chunks of the contexts, and their encodings and
other correlations with the query are already available due to the use of vectorizations and re-rankings. This
information is discarded during decoding. 3)Unusually Structured and Sparse Attention.Due to diversity
and other operations such as deduplication, most context chunks during decoding are unrelated, resulting in
predominantly zero cross-attention between chunks (see figure 7).
1.1 Our Contributions
We proposeREFRAG(REpresentation For RAG), a novel mechanism for efficient decoding of contexts
in RAG.REFRAGsignificantly reduces latency, TTFT, and memory usage during decoding, allwithout
requiring modificationsto the LLM architecture or introducing new decoder parameters.",0.8,"The quote accurately synthesizes information from the source text. The phrase 'being uninformative and reused across multiple inferences' is a verbatim extraction from the beginning of the source. However, the preceding part of the quote ('RAG contexts often contain sparse information, with many retrieved passages') is a paraphrase and synthesis of other concepts mentioned in the source (e.g., 'Sparse Attention', 'most context chunks'). While the information conveyed is fully supported and highly accurate, the entire quote is not a verbatim or near-verbatim extraction of a single, complete sentence from the source, as it combines and rephrases elements."
6.0,BM25 RAG,True,"The reconstruction task, while intuitive, is particularly challenging when multiple chunks must be reconstructed.",filename: 2509.01092v2.pdf page 4,"As the chunk length k increases, the number of possible token combinations expands exponentially, specifically at a rate of V^k, where V is the vocabulary size. Effectively capturing this diversity within a fixed-length embedding presents a significant challenge. Additionally, reconstructing s = k x L tokens from L chunk embeddings further compounds the difficulty of the task. ... To address the optimization challenge, we propose employing curriculum learning for both tasks.",46.01769911504425,"chunks in the original token space using the RL policy. The effective compression ratek
1−p+kp decreases when
fewer chunks are compressed (i.e.,p increases). We compare the perplexity ofxs+1:s+o using different selection
policy under differentp. The perplexity-based selection is an heuristic based selection which compresses
chunks with low perplexity (Perplexity-desc) or high perplexity (Perplexity-asc). The perplexity is measured
by the LLaMA-2-7B model. Intuitively, a chunk with lower perplexity contains less information and can
therefore be compressed with minimal information loss. Ideally, this approach should outperform random
selection, which is indeed observed in figure 3. The RL-based selective compression policy consistently achieves
superior performance across varying compression ratesp.
4.1 Ablation Study
Curriculum learning is essential for effective training in the reconstruction task.The reconstruction task, while",0.2,"The quote begins with the phrase 'The reconstruction task, while' which is present at the very end of the source text. However, the remainder of the quote ('intuitive, is particularly challenging when multiple chunks must be reconstructed.') is not found in the provided source text. The source text ends abruptly after 'The reconstruction task, while'."
7.0,BM25 RAG,True,"...a lightweight reinforcement learning (RL) policy that selectively determines when full chunk token input is necessary and when low-cost, approximate chunk embeddings suffice .","2509.01092v2.pdf, Page: 1","This ""compress anywhere"" capability is further enhanced by a lightweight reinforcement learning (RL) policy that selectively determines when full chunk token input is necessary and when low-cost, approximate chunk embeddings suffice. As a result, REFRAG minimizes reliance on computationally intensive token embeddings, condensing most chunks for the query in RAG settings.",97.75280898876404,"C1, . . . , CL, we achieve a compression fraction of1−p by randomly selectingT′ := pL chunks to remain
uncompressed for the decoder. This pretraining allows the model to effectively handle mixed inputs at
arbitrary positions, which is essential for the subsequent RL policy learning.
We sequentially pickT′ chunk indicesl = {lj}T′
j=1, wherelt ∈ [L]. The input arrangement isE(x,{l j}T′
j=1) =
{E1, . . . , EL}, with Ei =e cnk
i if i /∈ {lj}T′
j=1 (compressed), and Ei = {ek∗i, . . . ,ek∗i+k−1} if i∈ {lj}T′
j=1
16",0.1,"The quote describes the function of a 'lightweight reinforcement learning (RL) policy' that determines when to use 'full chunk token input' versus 'low-cost, approximate chunk embeddings'. While the source text mentions 'RL policy learning' and describes a mechanism for handling 'compressed' (approximate) and 'uncompressed' (full token) chunks, the specific sentence or a near-verbatim version of the quote is not present. The quote appears to be an interpretation or summary of what such a policy would do, rather than a direct extraction from the provided text."
8.0,BM25 RAG,True,"With longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput.","2509.01092v2.pdf, Page: 15","Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to kx acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k²x for both metrics.",82.08092485549133,"token; TTIT, the time to generate each subsequent token; and Throughput, the number of tokens generated
per unit time. Theoretical analysis (section A) shows that for short context lengths, our method achieves up to
k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up tok2× for both
metrics. Empirically, as shown in figure 2, with a context length of16384(mid-to-long context),REFRAG
with k = 16achieves16 .53× TTFT acceleration with cache and8.59× without cache1, both surpassing CEPE
(2.01× and1 .04×, respectively), while achieving 9.3% performance (measured by log-perplexity) compared
to CEPE (table 1). We achieve up to6.78× throughput acceleration compared to LLaMA, significantly
outperforming CEPE. Withk = 32, TTFT acceleration reaches32.99× compared to LLaMA (3.75× compared
to CEPE) while maintaining similar performance to CEPE (see figure 8 and table 2). More detailed discussion",0.95,"The quote accurately conveys the information from the source text regarding acceleration for longer context lengths. The source states: 'For longer context length, acceleration reaches up tok2× for both metrics.' The quote rephrases this as: 'With longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput.' While not verbatim, the changes are minor (e.g., 'For' to 'With', 'length' to 'lengths', 'reaches' to 'we are able to achieve') and the explicit mention of 'TTFT and throughput' is an accurate clarification of 'both metrics' given the context of the preceding sentences in the source text. The core meaning and numerical value (k2x acceleration) are perfectly preserved and fully supported."
9.0,BM25 RAG,True,"Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings as the saved context can be reinvested to include additional information within the same latency budget.",filename: 2509.01092v2.pdf page 7,"Under equivalent latency constraints, REFRAG consistently outperform LLaMA on both settings as the saved context can be reinvested to include additional information within the same latency budget.",98.96907216494846,"that most tasks still benefit from more passages in our model. Figure 4 shows the performance averaged
over all 16 tasks in table 3 for both strong retriever and weak retriever setting. The result demonstrates that
under the same number of retrieved passages, we are able to match the performance of LLaMA in the strong
retriever setting and even outperform LLaMA under the weak retriever setting. This is because our model
enables larger context and hence enables extract more useful information when the retrieved passages are less
relevant. Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings
as the saved context can be reinvested to include additional information within the same latency budget.
Figure 4 compares the performance ofREFRAGand the LLaMA model under two conditions: 1) an equal
number of retrieved passages, and 2) equal latency, for both strong and weak retriever settings.With a strong",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text."
10.0,BM25 RAG,True,"In contrast, a compression rate of 64 appears to be overly aggressive, resulting in diminished performance.",filename: 2509.01092v2.pdf page 6,"We observe a performance regression as the compression rate increases; however, even at a compression rate of 32, our model remains competitive (as shown in table 1). In contrast, a compression rate of 64 appears to be overly aggressive, resulting in diminished performance. These findings suggest a practical limit to the compression rate beyond which the model’s capability is significantly reduced.",100.0,"0 100 101 102
Number of Passages
50
52
54
56
Performance
Performance vs. Retrieved Passages
0 100 101 102 103
Input Length (Latency)
50
52
54
56
Performance
Performance vs. Latency
Llama REFRAG 8 ×  compression
0 100 101 102
Number of Passages
52
54
Performance
Performance vs. Retrieved Passages
0 100 101 102 103
Input Length (Latency)
52
54
Performance
Performance vs. Latency
Llama REFRAG 8 ×  compression
Figure 4RAG performance comparison under a strong retriever scenario (left) and a weak retriever scenario and a
strong retriever scenario (right).REFRAGperform similarly to LLaMA model under the same retrieved passages
(slightly better in a weaker retriever case) while outperform significantly under the same latency.
This finding is particularly surprising, asREFRAG16 achieves a compression rate of8without recomputing
chunk embeddings, yet still surpasses the performance ofREFRAG8. These results further highlight the",0.0,"The provided quote, 'In contrast, a compression rate of 64 appears to be overly aggressive, resulting in diminished performance,' is not present anywhere in the source text. The source text mentions 'compression' and 'compression rate of 8' but does not discuss a compression rate of 64 or the associated performance implications described in the quote."
