question_number,pipeline,correct,predicted,ground_truth,quote,source,latency,run_timestamp,id,error
1.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,16.914586544036865,2025-11-30 15:08:01,,
2.0,Baseline (Zero-shot),True,C,C,No quote provided,,11.044457197189333,2025-11-30 15:08:01,,
3.0,Baseline (Zero-shot),False,ERROR,B,No quote provided,,12.609479665756226,2025-11-30 15:08:01,,
4.0,Baseline (Zero-shot),True,D,D,No quote provided,,4.302493810653687,2025-11-30 15:08:01,,
5.0,Baseline (Zero-shot),True,C,C,No quote provided,,6.449448823928833,2025-11-30 15:08:01,,
6.0,Baseline (Zero-shot),False,D,C,No quote provided,,12.126209020614624,2025-11-30 15:08:01,,
7.0,Baseline (Zero-shot),True,C,C,No quote provided,,5.082085847854614,2025-11-30 15:08:01,,
8.0,Baseline (Zero-shot),True,B,B,No quote provided,,7.060656547546387,2025-11-30 15:08:01,,
9.0,Baseline (Zero-shot),True,C,C,No quote provided,,6.76008152961731,2025-11-30 15:08:01,,
10.0,Baseline (Zero-shot),True,C,C,No quote provided,,5.835453748703003,2025-11-30 15:08:01,,
11.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,9.215826749801636,2025-11-30 15:08:01,,
12.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,15.094555139541626,2025-11-30 15:08:01,,
13.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,262.38306736946106,2025-11-30 15:08:01,,
14.0,Baseline (Zero-shot),True,C,C,No quote provided,,7.751850605010986,2025-11-30 15:08:01,,
15.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,11.529668807983398,2025-11-30 15:08:01,,
16.0,Baseline (Zero-shot),True,C,C,No quote provided,,6.758551836013794,2025-11-30 15:08:01,,
17.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,12.287518978118896,2025-11-30 15:08:01,,
18.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,9.831098556518556,2025-11-30 15:08:01,,
19.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,11.18355941772461,2025-11-30 15:08:01,,
20.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,7.863402366638184,2025-11-30 15:08:01,,
21.0,Baseline (Zero-shot),True,C,C,No quote provided,,7.678516626358032,2025-11-30 15:08:01,,
22.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,51.91856217384338,2025-11-30 15:08:01,,
23.0,Baseline (Zero-shot),True,C,C,No quote provided,,8.29246973991394,2025-11-30 15:08:01,,
24.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,8.321522235870361,2025-11-30 15:08:01,,
25.0,Baseline (Zero-shot),False,A,C,No quote provided,,7.963747262954712,2025-11-30 15:08:01,,
26.0,Baseline (Zero-shot),False,A,C,No quote provided,,5.854795932769775,2025-11-30 15:08:01,,
27.0,Baseline (Zero-shot),False,A,C,No quote provided,,10.11574387550354,2025-11-30 15:08:01,,
28.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,35.94296050071716,2025-11-30 15:08:01,,
29.0,Baseline (Zero-shot),True,C,C,No quote provided,,5.2215495109558105,2025-11-30 15:08:01,,
30.0,Baseline (Zero-shot),False,A,C,No quote provided,,5.326339960098267,2025-11-30 15:08:01,,
31.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,10.650547504425049,2025-11-30 15:08:01,,
32.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,9.213435173034668,2025-11-30 15:08:01,,
33.0,Baseline (Zero-shot),False,A,C,No quote provided,,2.581446886062622,2025-11-30 15:08:01,,
34.0,Baseline (Zero-shot),False,A,C,No quote provided,,7.248760461807251,2025-11-30 15:08:01,,
35.0,Baseline (Zero-shot),True,C,C,No quote provided,,5.530038118362427,2025-11-30 15:08:01,,
36.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,19.353498935699463,2025-11-30 15:08:01,,
37.0,Baseline (Zero-shot),False,A,C,No quote provided,,7.06539797782898,2025-11-30 15:08:01,,
38.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,19.046669960021973,2025-11-30 15:08:01,,
39.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,25.19720482826233,2025-11-30 15:08:01,,
40.0,Baseline (Zero-shot),False,B,C,No quote provided,,13.202953577041626,2025-11-30 15:08:01,,
41.0,Baseline (Zero-shot),True,C,C,No quote provided,,6.450778961181641,2025-11-30 15:08:01,,
42.0,Baseline (Zero-shot),True,B,B,No quote provided,,3.687678813934326,2025-11-30 15:08:01,,
43.0,Baseline (Zero-shot),True,C,C,No quote provided,,5.528700351715088,2025-11-30 15:08:01,,
44.0,Baseline (Zero-shot),False,A,C,No quote provided,,7.064848184585571,2025-11-30 15:08:01,,
45.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,8.386046648025513,2025-11-30 15:08:01,,
46.0,Baseline (Zero-shot),False,ERROR,C,No quote provided,,10.04912257194519,2025-11-30 15:08:01,,
47.0,Baseline (Zero-shot),False,A,B,No quote provided,,5.731889486312866,2025-11-30 15:08:01,,
48.0,Baseline (Zero-shot),True,B,B,No quote provided,,4.097759485244751,2025-11-30 15:08:01,,
49.0,Baseline (Zero-shot),False,A,C,No quote provided,,7.370431423187256,2025-11-30 15:08:01,,
50.0,Baseline (Zero-shot),False,A,C,No quote provided,,10.138065338134766,2025-11-30 15:08:01,,
1.0,BM25 RAG,True,C,C,"By leveraging the inherent sparsity and block-diagonal attention patterns present in RAG contexts,REFRAG compresses, senses, and expands context representations to significantly reduce both memory usage and inference latency, particularly the TTFT.","2509.01092v2.pdf, Page: 10",16.23562788963318,2025-11-30 15:12:35,,
2.0,BM25 RAG,False,ERROR,C,No quote provided,,8.90904688835144,2025-11-30 15:12:35,,
3.0,BM25 RAG,True,B,B,"However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization.",2509.01092v2.pdf page 9,6.454961776733398,2025-11-30 15:12:35,,
4.0,BM25 RAG,True,D,D,"Our model outperformsLLaMAFT on two out of three datasets in the 5-passage setting, and on all three datasets in the 10-passage setting. This improvement is attributable to the limited 4k-token context window of LLaMAFT, which necessitates truncating portions of the conversational history in longer contexts, resulting in the loss of crucial information required to answer subsequent questions. In contrast, our model, trained on the sameLLaMA model without extending its effective positional encoding, maintains robust performance","2509.01092v2.pdf, Page: 7",4.433295249938965,2025-11-30 15:12:35,,
5.0,BM25 RAG,True,C,C,"We argue that specialized techniques exploiting the unique structure and sparsity inherent in RAG contexts can substantially reduce memory and computational overhead. Treating RAG TTFT as a generic LLM inference problem overlooks several key aspects: 1) Inefficient Token Allocation.RAG contexts often contain sparse information, with many retrieved passages being uninformative and reused across multiple inferences.","2509.01092v2.pdf, Page: 1",6.207156658172607,2025-11-30 15:12:35,,
6.0,BM25 RAG,True,C,C,"Curriculum learning is essential for effective training in the reconstruction task.The reconstruction task, while intuitive, is particularly challenging when multiple chunks must be reconstructed.","2509.01092v2.pdf, Page: 4",5.022219896316528,2025-11-30 15:12:35,,
7.0,BM25 RAG,True,C,C,"This “compress anywhere” capability is further enhanced by a lightweight reinforcement learning (RL) policy that selectively determines when full chunk token input is necessary and when low-cost, approximate chunk embeddings suffice .","2509.01092v2.pdf, Page: 1",6.9456281661987305,2025-11-30 15:12:35,,
8.0,BM25 RAG,True,B,B,"For longer context length, acceleration reaches up tok2× for both metrics.","2509.01092v2.pdf, Page: 2",4.72803258895874,2025-11-30 15:12:35,,
9.0,BM25 RAG,True,C,C,"Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings as the saved context can be reinvested to include additional information within the same latency budget.","2509.01092v2.pdf, Page: 7",5.222147464752197,2025-11-30 15:12:35,,
10.0,BM25 RAG,True,C,C,"In contrast, a compression rate of64appears to be overly aggressive, resulting in diminished performance. These findings suggest a practical limit to the compression rate beyond which the model’s capability is significantly reduced.","2509.01092v2.pdf, Page: 6",2.6642892360687256,2025-11-30 15:12:35,,
11.0,BM25 RAG,True,C,C,"These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to block-diagonal attention patterns that differ from those in standard LLM generation tasks. Based on this observation, we argue that most computations over the RAG context during decoding are unnecessary and can be eliminated with minimal impact on performance.","2509.01092v2.pdf, Page: 0",5.01567530632019,2025-11-30 15:12:35,,
12.0,BM25 RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, page 1",3.0392088890075684,2025-11-30 15:12:35,,
