question_number,pipeline,correct,predicted,ground_truth,quote,source,latency,run_timestamp
1,Baseline (Zero-shot),True,C,C,No quote provided,,8.050240755081177,2025-11-30 12:50:20
2,Baseline (Zero-shot),False,ERROR,C,No quote provided,,8.407480955123901,2025-11-30 12:50:20
3,Baseline (Zero-shot),False,ERROR,B,No quote provided,,9.20861530303955,2025-11-30 12:50:20
4,Baseline (Zero-shot),True,D,D,No quote provided,,3.889380693435669,2025-11-30 12:50:20
5,Baseline (Zero-shot),True,C,C,No quote provided,,6.25521731376648,2025-11-30 12:50:20
6,Baseline (Zero-shot),False,D,C,No quote provided,,11.567939519882202,2025-11-30 12:50:20
7,Baseline (Zero-shot),True,C,C,No quote provided,,7.262204885482788,2025-11-30 12:50:20
8,Baseline (Zero-shot),False,ERROR,B,No quote provided,,25.710461139678955,2025-11-30 12:50:20
9,Baseline (Zero-shot),False,B,C,No quote provided,,5.830772399902344,2025-11-30 12:50:20
10,Baseline (Zero-shot),True,C,C,No quote provided,,6.145043611526489,2025-11-30 12:50:20
11,Baseline (Zero-shot),False,ERROR,C,No quote provided,,11.364418506622314,2025-11-30 12:50:20
12,Baseline (Zero-shot),False,ERROR,C,No quote provided,,19.536029815673828,2025-11-30 12:50:20
13,Baseline (Zero-shot),False,ERROR,C,No quote provided,,242.785626411438,2025-11-30 12:50:20
14,Baseline (Zero-shot),False,ERROR,C,No quote provided,,9.492626190185549,2025-11-30 12:50:20
15,Baseline (Zero-shot),False,ERROR,C,No quote provided,,14.540130853652954,2025-11-30 12:50:20
16,Baseline (Zero-shot),True,C,C,No quote provided,,7.16579794883728,2025-11-30 12:50:20
17,Baseline (Zero-shot),False,ERROR,C,No quote provided,,10.819853067398071,2025-11-30 12:50:20
18,Baseline (Zero-shot),False,ERROR,C,No quote provided,,9.478573322296144,2025-11-30 12:50:20
19,Baseline (Zero-shot),False,ERROR,C,No quote provided,,9.895864009857178,2025-11-30 12:50:20
20,Baseline (Zero-shot),False,ERROR,C,No quote provided,,8.704245805740356,2025-11-30 12:50:20
21,Baseline (Zero-shot),True,C,C,No quote provided,,7.115656137466431,2025-11-30 12:50:20
22,Baseline (Zero-shot),False,ERROR,C,No quote provided,,57.32864546775818,2025-11-30 12:50:20
23,Baseline (Zero-shot),True,C,C,No quote provided,,7.823153495788574,2025-11-30 12:50:20
24,Baseline (Zero-shot),True,C,C,No quote provided,,4.691707134246826,2025-11-30 12:50:20
25,Baseline (Zero-shot),False,A,C,No quote provided,,9.292808294296265,2025-11-30 12:50:20
26,Baseline (Zero-shot),False,B,C,No quote provided,,2.7643558979034424,2025-11-30 12:50:20
27,Baseline (Zero-shot),False,A,C,No quote provided,,9.522645711898804,2025-11-30 12:50:20
