question_number,pipeline,correct,predicted,ground_truth,quote,source,latency,run_timestamp
1.0,Baseline (Zero-shot),True,C,C,No quote provided,,19.179107904434204,2025-12-02 17:03:05
2.0,Baseline (Zero-shot),False,A,C,No quote provided,,17.50856065750122,2025-12-02 17:03:05
3.0,Baseline (Zero-shot),False,A,B,No quote provided,,19.660865783691406,2025-12-02 17:03:05
4.0,Baseline (Zero-shot),True,D,D,No quote provided,,15.66737151145935,2025-12-02 17:03:05
5.0,Baseline (Zero-shot),True,C,C,No quote provided,,20.58238434791565,2025-12-02 17:03:05
6.0,Baseline (Zero-shot),False,A,C,No quote provided,,17.817792177200317,2025-12-02 17:03:05
7.0,Baseline (Zero-shot),False,A,C,No quote provided,,15.192317008972168,2025-12-02 17:03:05
8.0,Baseline (Zero-shot),True,B,B,No quote provided,,22.90101432800293,2025-12-02 17:03:05
9.0,Baseline (Zero-shot),True,C,C,No quote provided,,41.16489768028259,2025-12-02 17:03:05
10.0,Baseline (Zero-shot),True,C,C,No quote provided,,15.974069118499756,2025-12-02 17:03:05
11.0,Baseline (Zero-shot),True,C,C,No quote provided,,22.018901348114014,2025-12-02 17:03:05
12.0,Baseline (Zero-shot),True,C,C,No quote provided,,28.055509567260746,2025-12-02 17:03:05
13.0,Baseline (Zero-shot),False,A,C,No quote provided,,76.80008554458618,2025-12-02 17:03:05
14.0,Baseline (Zero-shot),True,C,C,No quote provided,,20.41288924217224,2025-12-02 17:03:05
15.0,Baseline (Zero-shot),False,A,C,No quote provided,,17.68061375617981,2025-12-02 17:03:05
16.0,Baseline (Zero-shot),True,C,C,No quote provided,,19.969125509262085,2025-12-02 17:03:05
17.0,Baseline (Zero-shot),True,C,C,No quote provided,,16.587204217910767,2025-12-02 17:03:05
18.0,Baseline (Zero-shot),True,C,C,No quote provided,,21.196716785430908,2025-12-02 17:03:05
19.0,Baseline (Zero-shot),True,C,C,No quote provided,,17.052164554595947,2025-12-02 17:03:05
20.0,Baseline (Zero-shot),False,A,C,No quote provided,,22.578856229782104,2025-12-02 17:03:05
21.0,Baseline (Zero-shot),True,C,C,No quote provided,,45.7730438709259,2025-12-02 17:03:05
22.0,Baseline (Zero-shot),False,A,C,No quote provided,,70.6562008857727,2025-12-02 17:03:05
23.0,Baseline (Zero-shot),True,C,C,No quote provided,,19.3522629737854,2025-12-02 17:03:05
24.0,Baseline (Zero-shot),True,C,C,No quote provided,,15.802765607833862,2025-12-02 17:03:05
25.0,Baseline (Zero-shot),False,A,C,No quote provided,,23.211753129959103,2025-12-02 17:03:05
26.0,Baseline (Zero-shot),False,A,C,No quote provided,,14.588090419769289,2025-12-02 17:03:05
27.0,Baseline (Zero-shot),False,A,C,No quote provided,,16.445321083068848,2025-12-02 17:03:05
28.0,Baseline (Zero-shot),False,A,C,No quote provided,,20.57609605789185,2025-12-02 17:03:05
29.0,Baseline (Zero-shot),True,C,C,No quote provided,,16.996042728424072,2025-12-02 17:03:05
30.0,Baseline (Zero-shot),False,A,C,No quote provided,,21.096905946731567,2025-12-02 17:03:05
31.0,Baseline (Zero-shot),False,A,C,No quote provided,,25.46550154685974,2025-12-02 17:03:05
32.0,Baseline (Zero-shot),True,C,C,No quote provided,,28.297963619232178,2025-12-02 17:03:05
33.0,Baseline (Zero-shot),True,C,C,No quote provided,,22.73003387451172,2025-12-02 17:03:05
34.0,Baseline (Zero-shot),False,A,C,No quote provided,,19.04793167114257,2025-12-02 17:03:05
35.0,Baseline (Zero-shot),True,C,C,No quote provided,,16.587315559387207,2025-12-02 17:03:05
36.0,Baseline (Zero-shot),True,C,C,No quote provided,,22.120845079422,2025-12-02 17:03:05
37.0,Baseline (Zero-shot),False,B,C,No quote provided,,16.791579723358154,2025-12-02 17:03:05
38.0,Baseline (Zero-shot),True,C,C,No quote provided,,60.62325549125672,2025-12-02 17:03:05
39.0,Baseline (Zero-shot),True,C,C,No quote provided,,46.32962989807129,2025-12-02 17:03:05
40.0,Baseline (Zero-shot),True,C,C,No quote provided,,13.572023868560793,2025-12-02 17:03:05
41.0,Baseline (Zero-shot),True,C,C,No quote provided,,16.590946197509766,2025-12-02 17:03:05
42.0,Baseline (Zero-shot),True,B,B,No quote provided,,16.5876522064209,2025-12-02 17:03:05
43.0,Baseline (Zero-shot),True,C,C,No quote provided,,16.898157358169556,2025-12-02 17:03:05
44.0,Baseline (Zero-shot),False,A,C,No quote provided,,25.18939518928528,2025-12-02 17:03:05
45.0,Baseline (Zero-shot),True,C,C,No quote provided,,18.060976028442383,2025-12-02 17:03:05
46.0,Baseline (Zero-shot),True,C,C,No quote provided,,19.109087228775024,2025-12-02 17:03:05
47.0,Baseline (Zero-shot),False,A,B,No quote provided,,22.42534875869751,2025-12-02 17:03:05
48.0,Baseline (Zero-shot),True,B,B,No quote provided,,14.643606662750244,2025-12-02 17:03:05
49.0,Baseline (Zero-shot),True,C,C,No quote provided,,32.66589117050171,2025-12-02 17:03:05
50.0,Baseline (Zero-shot),True,C,C,No quote provided,,16.589017629623413,2025-12-02 17:03:05
51.0,Baseline (Zero-shot),True,C,C,No quote provided,,21.19639086723328,2025-12-02 17:03:05
52.0,Baseline (Zero-shot),True,C,C,No quote provided,,18.4319851398468,2025-12-02 17:03:05
53.0,Baseline (Zero-shot),True,C,C,No quote provided,,15.055500268936155,2025-12-02 17:03:05
54.0,Baseline (Zero-shot),False,A,C,No quote provided,,48.53509449958801,2025-12-02 17:03:05
55.0,Baseline (Zero-shot),False,A,C,No quote provided,,24.576022148132324,2025-12-02 17:03:05
56.0,Baseline (Zero-shot),True,C,C,No quote provided,,20.78759980201721,2025-12-02 17:03:05
57.0,Baseline (Zero-shot),False,A,C,No quote provided,,26.21433019638061,2025-12-02 17:03:05
58.0,Baseline (Zero-shot),False,A,C,No quote provided,,22.118804216384888,2025-12-02 17:03:05
59.0,Baseline (Zero-shot),True,C,C,No quote provided,,52.22575664520264,2025-12-02 17:03:05
60.0,Baseline (Zero-shot),True,C,C,No quote provided,,19.04490685462952,2025-12-02 17:03:05
61.0,Baseline (Zero-shot),True,C,C,No quote provided,,18.124847888946533,2025-12-02 17:03:05
62.0,Baseline (Zero-shot),True,C,C,No quote provided,,36.60494947433472,2025-12-02 17:03:05
63.0,Baseline (Zero-shot),True,C,C,No quote provided,,24.83092832565308,2025-12-02 17:03:05
64.0,Baseline (Zero-shot),False,A,C,No quote provided,,36.563539028167725,2025-12-02 17:03:05
65.0,Baseline (Zero-shot),True,C,C,No quote provided,,16.379910945892334,2025-12-02 17:03:05
66.0,Baseline (Zero-shot),True,C,C,No quote provided,,21.3986554145813,2025-12-02 17:03:05
67.0,Baseline (Zero-shot),True,C,C,No quote provided,,32.86777067184448,2025-12-02 17:03:05
68.0,Baseline (Zero-shot),True,C,C,No quote provided,,17.814502477645874,2025-12-02 17:03:05
69.0,Baseline (Zero-shot),True,C,C,No quote provided,,18.73862719535828,2025-12-02 17:03:05
70.0,Baseline (Zero-shot),True,C,C,No quote provided,,31.868873357772827,2025-12-02 17:03:05
1.0,BM25 RAG,True,C,C,"By leveraging the inherent sparsity and block-diagonal attention patterns present in RAG contexts, REFRAG compresses, senses, and expands context representations to significantly reduce both memory usage and inference latency, particularly the TTFT.","2509.01092v2.pdf, Page: 10",21.574841499328613,2025-12-02 17:24:04
2.0,BM25 RAG,False,A,C,"performance of the reconstruction task with and without curriculum learning (i.e., reconstruction of x1:s from s/k chunk embedding directly).","2509.01092v2.pdf, Page: 5",16.59390950202942,2025-12-02 17:24:04
3.0,BM25 RAG,True,B,B,"However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization.",filename: 2509.01092v2.pdf page 9,16.888609647750854,2025-12-02 17:24:04
4.0,BM25 RAG,True,D,D,"This improvement is attributable to the limited 4k-token context window of LLaMAFT, which necessitates truncating portions of the conversational history in longer contexts, resulting in the loss of crucial information required to answer subsequent questions.",filename: 2509.01092v2.pdf page 7,15.97303295135498,2025-12-02 17:24:04
5.0,BM25 RAG,True,C,C,"RAG contexts often contain sparse information, with many retrieved passages being uninformative and reused across multiple inferences.",filename: 2509.01092v2.pdf page 1,31.64019799232483,2025-12-02 17:24:04
6.0,BM25 RAG,True,C,C,"The reconstruction task, while intuitive, is particularly challenging when multiple chunks must be reconstructed.",filename: 2509.01092v2.pdf page 4,12.28768277168274,2025-12-02 17:24:04
7.0,BM25 RAG,True,C,C,"...a lightweight reinforcement learning (RL) policy that selectively determines when full chunk token input is necessary and when low-cost, approximate chunk embeddings suffice .","2509.01092v2.pdf, Page: 1",12.901953220367432,2025-12-02 17:24:04
8.0,BM25 RAG,True,B,B,"With longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput.","2509.01092v2.pdf, Page: 15",15.343577146530151,2025-12-02 17:24:04
9.0,BM25 RAG,True,C,C,"Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings as the saved context can be reinvested to include additional information within the same latency budget.",filename: 2509.01092v2.pdf page 7,12.918832063674929,2025-12-02 17:24:04
10.0,BM25 RAG,True,C,C,"In contrast, a compression rate of 64 appears to be overly aggressive, resulting in diminished performance.",filename: 2509.01092v2.pdf page 6,14.129066944122314,2025-12-02 17:24:04
11.0,BM25 RAG,True,C,C,"These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to block-diagonal attention patterns that differ from those in standard LLM generation tasks.",filename: 2509.01092v2.pdf page 0,15.052400588989258,2025-12-02 17:24:04
12.0,BM25 RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",14.13232707977295,2025-12-02 17:24:04
13.0,BM25 RAG,True,C,C,"Theoretical analysis (section A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up tok2× for both metrics.","2509.01092v2.pdf, Page: 2",13.78185749053955,2025-12-02 17:24:04
14.0,BM25 RAG,True,C,C,"A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form... The policy network leverages chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property...",filename: 2509.01092v2.pdf page 3,18.06386590003968,2025-12-02 17:24:04
15.0,BM25 RAG,True,C,C,"In this task, we freeze the decoder model and only train the encoder and projection layer.",filename: 2509.01092v2.pdf page 3,13.30970025062561,2025-12-02 17:24:04
16.0,BM25 RAG,True,C,C,"To continuously adjust task difficulty, we vary the data mixture over time, starting with examples dominated by easier tasks (e.g., single chunk embedding) and gradually shifting towards those dominated by more difficult tasks (i.e.,L chunk embeddings).","2509.01092v2.pdf, Page: 3",19.35283207893372,2025-12-02 17:24:04
17.0,BM25 RAG,True,C,C,Table 13 demonstrates that REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 across different datasets and context lengths.,"Source Reference: 2509.01092v2.pdf, Page: 5",14.438718795776367,2025-12-02 17:24:04
18.0,BM25 RAG,True,C,C,"However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization. Additionally, CEPE does not utilize token compression, resulting in similar or even increased decoding latency.","Source Reference: 2509.01092v2.pdf, Page: 9",20.27389883995056,2025-12-02 17:24:04
19.0,BM25 RAG,True,C,C,"At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG achieves a 1.93% average gain over 16 RAG tasks.","2509.01092v2.pdf, Page: 7",16.281574487686157,2025-12-02 17:24:04
20.0,BM25 RAG,True,C,C,"The original Llama-2-7B supports only a 4k context window, whereas our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications.",filename: 2509.01092v2.pdf page 4,11.906551361083984,2025-12-02 17:24:04
21.0,BM25 RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",14.37177300453186,2025-12-02 17:24:04
22.0,BM25 RAG,True,C,C,"With longer context lengths, we are able to achieve up to k²× acceleration in both TTFT and throughput.",filename: 2509.01092v2.pdf page 15,12.427669525146484,2025-12-02 17:24:04
23.0,BM25 RAG,True,C,C,"Unlike prior methods (Yen et al., 2024),REFRAGsupports compression of token chunks at arbitrary positions (see figure 1) while preserving the autoregressive nature of the decoder, thereby supporting multi-turn and agentic applications.",filename: 2509.01092v2.pdf page 1,14.745120286941528,2025-12-02 17:24:04
24.0,BM25 RAG,True,C,C,"The main objectives are to align the encoder and projection layer so that: 1) encoder can compressk tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the",filename: 2509.01092v2.pdf page 3,13.210476160049438,2025-12-02 17:24:04
25.0,BM25 RAG,True,C,C,"A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form.","2509.01092v2.pdf, Page: 3",13.576685190200806,2025-12-02 17:24:04
26.0,BM25 RAG,True,C,C,"Empirically, as shown in figure 2, with a context length of 16384 (mid-to-long context), REFRAG with k = 16 achieves 16.53× TTFT acceleration with cache and 8.59× without cache...",filename: 2509.01092v2.pdf page 2,18.989648580551147,2025-12-02 17:24:04
27.0,BM25 RAG,True,C,C,"At equal latency (8 passages forREFRAGvs. 1 for LLaMA),REFRAGattains a1.22%
average improvement across 16 RAG tasks.","2509.01092v2.pdf, Page: 7",16.534199476242065,2025-12-02 17:24:04
28.0,BM25 RAG,True,C,C,"For reference, LLaMA256 uses only the last 256 tokens, matching the number of chunk embeddings in REFRAG8 (s/k = 256), yet REFRAG8 consistently surpasses LLaMA256, demonstrating the effectiveness of compressed chunk embeddings.",filename: 2509.01092v2.pdf page 4,12.367456197738647,2025-12-02 17:24:04
29.0,BM25 RAG,True,C,C,"In contrast, a compression rate of 64 appears to be overly aggressive, resulting in diminished performance. These findings suggest a practical limit to the compression rate beyond which the model’s capability is significantly reduced.",filename: 2509.01092v2.pdf page 6,17.7964928150177,2025-12-02 17:24:04
30.0,BM25 RAG,True,C,C,"The original Llama-2-7B supports only a 4k context window, whereas our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications.","2509.01092v2.pdf, Page: 4",11.982027530670166,2025-12-02 17:24:04
31.0,BM25 RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",filename: 2509.01092v2.pdf page 1,11.059861660003662,2025-12-02 17:24:04
32.0,BM25 RAG,True,C,C,"Table 6 shows that with short context length s we are able to achieve k× acceleration in TTFT and up to k× acceleration in throughput. With longer context lengths, we are able to achieve up to k²× acceleration in both TTFT and throughput.","2509.01092v2.pdf, Page: 15",14.132452726364136,2025-12-02 17:24:04
33.0,BM25 RAG,True,C,C,"Empirically, as shown in figure 2, with a context length of16384(mid-to-long context),REFRAG with k = 16achieves16 .53× TTFT acceleration with cache and8.59× without cache1, both surpassing CEPE (2.01× and1 .04×, respectively), while achieving 9.3% performance (measured by log-perplexity) compared to CEPE (table 1).","2509.01092v2.pdf, Page: 2",13.825227737426758,2025-12-02 17:24:04
34.0,BM25 RAG,True,C,C,"This task encourages the model to leverage contextual information for next-paragraph prediction, thereby equipping it for downstream applications.","2509.01092v2.pdf, Page: 3",37.35052108764648,2025-12-02 17:24:04
35.0,BM25 RAG,True,C,C,"For the reconstruction task, training begins with reconstructing a single chunk... Subsequently, the model reconstructs x1:2k frome cnk 1 , ecnk 2 , and so forth.",filename: 2509.01092v2.pdf page 3,20.37289762496948,2025-12-02 17:24:04
36.0,BM25 RAG,True,C,C,"A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form. The policy network leverages chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property.","Source Reference: 2509.01092v2.pdf, Page: 3",28.864025592803955,2025-12-02 17:24:04
37.0,BM25 RAG,True,C,C,"With a compression rate of 16, we achieve a 9.3% average log-perplexity improvement over CEPE across four datasets2.","2509.01092v2.pdf, Page: 4",11.41406774520874,2025-12-02 17:24:04
38.0,BM25 RAG,False,ERROR,C,No quote provided,,47.92555379867554,2025-12-02 17:24:04
39.0,BM25 RAG,True,C,C,We follow the work of Linetal.(2024)touseWikipediadumpsandCommonCrawl dumps to create a retrieval corpus with 400 million passages. Each passage contains less than 200 words. We use the DRAGON+ model Lin et al. (2023) as our retriever...,filename: 2509.01092v2.pdf page 7,15.977759599685667,2025-12-02 17:24:04
40.0,BM25 RAG,True,C,C,"At equal latency (8 passages forREFRAGvs. 1 for LLaMA),REFRAGattains a1.22%
average improvement across 16 RAG tasks.",filename: 2509.01092v2.pdf page 7,15.971615552902222,2025-12-02 17:24:04
41.0,BM25 RAG,True,C,C,"Chevalier et al. (2023) proposed recursive compression for documents, using compressed embeddings for prediction, similar to our method.","2509.01092v2.pdf, Page: 9",21.45688223838806,2025-12-02 17:24:04
42.0,BM25 RAG,True,B,B,"The main objectives are to align the encoder and projection layer so that: 1) encoder can compressk tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the",filename: 2509.01092v2.pdf page 3,16.330153465270996,2025-12-02 17:24:04
43.0,BM25 RAG,True,C,C,We employ RL to train a policy that optimally determines which segments to compress.,"2509.01092v2.pdf, Page: 15",21.621522665023804,2025-12-02 17:24:04
44.0,BM25 RAG,False,B,C,"However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization.","2509.01092v2.pdf, Page: 9",22.00243139266968,2025-12-02 17:24:04
45.0,BM25 RAG,True,C,C,Table 13 demonstrates thatREFRAG16 with RL-based selective compression consistently outperformsREFRAG8 across different datasets and context lengths.,filename: 2509.01092v2.pdf page 5,14.437816858291626,2025-12-02 17:24:04
46.0,BM25 RAG,True,C,C,"These passages often exhibit low semantic similarity due to diversity or deduplication during re-ranking, leading to block-diagonal attention patterns that differ from those in standard LLM generation tasks.","2509.01092v2.pdf, Page: 0",17.63939332962036,2025-12-02 17:24:04
47.0,BM25 RAG,True,B,B,"Moreover, the time-to-first-token (TTFT) latency increases quadratically, while the time-to-iterative-token (TTIT) latency grows linearly with prompt length (Liu et al., 2025).",filename: 2509.01092v2.pdf page 0,10.976104736328123,2025-12-02 17:24:04
48.0,BM25 RAG,True,B,B,Table 11 shows the necessity of curriculum learning to the success of reconstruction task.,filename: 2509.01092v2.pdf page 21,15.0076322555542,2025-12-02 17:24:04
49.0,BM25 RAG,True,C,C,"The result demonstrates that under the same number of retrieved passages, we are able to match the performance of LLaMA in the strong retriever setting and even outperform LLaMA under the weak retriever setting. This is because our model enables larger context and hence enables extract more useful information when the retrieved passages are less relevant.","Source Reference: 2509.01092v2.pdf, Page: 7",20.58275532722473,2025-12-02 17:24:04
50.0,BM25 RAG,False,A,C,"attention, reducing attention complexity from quadratic to linear; however, this method does not address memory requirements. It is complementary to our approach and can be integrated to further improve latency.","2509.01092v2.pdf, Page: 9",19.4294958114624,2025-12-02 17:24:04
51.0,BM25 RAG,True,C,C,"Due to diversity and other operations such as deduplication, most context chunks during decoding are unrelated, resulting in predominantly zero cross-attention between chunks (see figure 7).","2509.01092v2.pdf, Page: 1",15.287999868392944,2025-12-02 17:24:04
52.0,BM25 RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",filename: 2509.01092v2.pdf page 1,13.513782262802124,2025-12-02 17:24:04
53.0,BM25 RAG,True,C,C,"This chunk embedding is then projected with a projection layer ϕ to match the size of the token embedding of the decoder model, ecnk
i = ϕ(ci).","2509.01092v2.pdf, Page: 1",12.287761449813845,2025-12-02 17:24:04
54.0,BM25 RAG,True,C,C,"For longer context length, acceleration reaches up to k²× for both metrics.","2509.01092v2.pdf, Page: 2",11.059167861938477,2025-12-02 17:24:04
55.0,BM25 RAG,True,C,C,"In this task, we freeze the decoder model and only train the encoder and projection layer.",filename: 2509.01092v2.pdf page 3,11.878539323806764,2025-12-02 17:24:04
56.0,BM25 RAG,True,C,C,The results indicate that curriculum learning is essential for the success of the reconstruction task.,filename: 2509.01092v2.pdf page 5,15.974553346633911,2025-12-02 17:24:04
57.0,BM25 RAG,True,C,C,"A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form.",filename: 2509.01092v2.pdf page 3,17.04495120048523,2025-12-02 17:24:04
58.0,BM25 RAG,True,C,C,Table 13 demonstrates that REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 across different datasets and context lengths.,"2509.01092v2.pdf, Page: 5",14.391748189926147,2025-12-02 17:24:04
59.0,BM25 RAG,True,C,C,"At equal latency (8 passages forREFRAGvs. 1 for LLaMA),REFRAGattains a1.22%
average improvement across 16 RAG tasks.","2509.01092v2.pdf, Page: 7",13.824200868606567,2025-12-02 17:24:04
60.0,BM25 RAG,True,C,C,"However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization.",filename: 2509.01092v2.pdf page 9,13.824052095413208,2025-12-02 17:24:04
61.0,BM25 RAG,True,C,C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","2509.01092v2.pdf, Page: 1",14.748756170272827,2025-12-02 17:24:04
62.0,BM25 RAG,True,C,C,"Theoretical analysis (section A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput. For longer context length, acceleration reaches up tok2× for both metrics.",filename: 2509.01092v2.pdf page 2,12.167585611343384,2025-12-02 17:24:04
