question_number,pipeline,correct,predicted,ground_truth,quote,source,latency,run_timestamp
1,Baseline (Zero-shot),True,C,C,No quote provided,,8.124951124191284,2025-11-30 10:49:53
2,Baseline (Zero-shot),True,C,C,No quote provided,,11.022520780563354,2025-11-30 10:49:53
3,Baseline (Zero-shot),False,ERROR,B,No quote provided,,12.152956008911133,2025-11-30 10:49:53
4,Baseline (Zero-shot),True,D,D,No quote provided,,5.393776893615723,2025-11-30 10:49:53
5,Baseline (Zero-shot),True,C,C,No quote provided,,6.155365467071533,2025-11-30 10:49:53
6,Baseline (Zero-shot),False,D,C,No quote provided,,11.969016790390016,2025-11-30 10:49:53
7,Baseline (Zero-shot),True,C,C,No quote provided,,7.372412204742432,2025-11-30 10:49:53
8,Baseline (Zero-shot),True,B,B,No quote provided,,6.45120644569397,2025-11-30 10:49:53
9,Baseline (Zero-shot),False,B,C,No quote provided,,6.1436402797698975,2025-11-30 10:49:53
10,Baseline (Zero-shot),True,C,C,No quote provided,,9.830241441726685,2025-11-30 10:49:53
11,Baseline (Zero-shot),False,ERROR,C,No quote provided,,11.673871755599976,2025-11-30 10:49:53
12,Baseline (Zero-shot),False,ERROR,C,No quote provided,,15.35968542098999,2025-11-30 10:49:53
13,Baseline (Zero-shot),False,ERROR,C,No quote provided,,238.69352746009827,2025-11-30 10:49:53
14,Baseline (Zero-shot),False,ERROR,C,No quote provided,,9.523080587387083,2025-11-30 10:49:53
15,Baseline (Zero-shot),False,ERROR,C,No quote provided,,15.052305459976196,2025-11-30 10:49:53
16,Baseline (Zero-shot),True,C,C,No quote provided,,5.221926212310791,2025-11-30 10:49:53
17,Baseline (Zero-shot),False,ERROR,C,No quote provided,,10.69699215888977,2025-11-30 10:49:53
18,Baseline (Zero-shot),False,ERROR,C,No quote provided,,7.94920802116394,2025-11-30 10:49:53
19,Baseline (Zero-shot),False,A,C,No quote provided,,6.543812036514282,2025-11-30 10:49:53
20,Baseline (Zero-shot),False,ERROR,C,No quote provided,,8.601467370986938,2025-11-30 10:49:53
21,Baseline (Zero-shot),True,C,C,No quote provided,,7.254870891571045,2025-11-30 10:49:53
22,Baseline (Zero-shot),False,ERROR,C,No quote provided,,56.33492803573608,2025-11-30 10:49:53
23,Baseline (Zero-shot),True,C,C,No quote provided,,7.3724071979522705,2025-11-30 10:49:53
